-1 1:-1.0456535 2:-0.55292654 3:0.24460983 4:0.0 
-1 1:-0.55889153 2:-0.43699765 3:0.38695812 4:0.0 
-1 1:-0.44909304 2:-0.74439645 3:0.8597326 4:0.0 
-1 1:-1.5091063 2:-1.1438699 3:0.4853058 4:0.0 
-1 1:-0.8768451 2:-1.0079813 3:0.3310194 4:0.0 
-1 1:0.07650602 2:-0.91860557 3:0.33389091 4:0.0 
-1 1:-0.6555791 2:-0.97351575 3:0.95638466 4:0.0 
-1 1:-0.9188454 2:-0.863027 3:0.17013073 4:0.0 
-1 1:-0.15542066 2:-0.80070007 3:0.6609478 4:0.0 
-1 1:1.0686514 2:0.47632337 3:-0.29930305 4:0.0 
-1 1:1.0501027 2:-0.14550257 3:0.6094923 4:0.0 
-1 1:-0.10776007 2:-0.23653173 3:0.87870216 4:0.0 
-1 1:-0.39961708 2:-0.32449055 3:-0.15723515 4:0.0 
-1 1:0.17358369 2:0.102828026 3:0.039016724 4:0.0 
-1 1:0.46934482 2:0.17973733 3:-0.30079365 4:0.0 
-1 1:-0.40974724 2:0.06745958 3:0.4308319 4:0.0 
-1 1:1.2967211 2:0.25777745 3:1.3190174 4:0.0 
-1 1:-0.83786476 2:0.48416018 3:-0.19996262 4:0.0 
-1 1:-0.63388246 2:-0.9596553 3:-0.17471313 4:0.0 
-1 1:-1.6443815 2:-0.98636496 3:0.057886124 4:0.0 
-1 1:-0.49394196 2:0.06849265 3:-0.4160509 4:0.0 
-1 1:-0.14456892 2:-0.012295008 3:0.2602377 4:0.0 
-1 1:0.41558695 2:-0.08700824 3:0.270092 4:0.0 
-1 1:0.13574266 2:-0.51395214 3:0.09444046 4:0.0 
-1 1:0.80566573 2:1.1131303 3:-0.02649498 4:0.0 
-1 1:0.14475536 2:0.7418988 3:-0.26764965 4:0.0 
-1 1:0.5389749 2:0.333102 3:0.17265701 4:0.0 
-1 1:0.19586086 2:0.1762538 3:-0.023454666 4:0.0 
-1 1:0.07285392 2:0.21702814 3:0.33287144 4:0.0 
+1 1:-1.6509819 2:-1.4208386 3:-0.33458138 4:0.0 
+1 1:-1.3407428 2:-1.6083508 3:1.8442125 4:0.0 
+1 1:-4.0900526 2:1.0791717 3:-15.274032 4:0.0 
+1 1:-3.477705 2:-3.1144662 3:-15.509344 4:0.0 
+1 1:4.6012573 2:-9.246071 3:-7.5049057 4:0.0 
+1 1:3.3853474 2:-6.3255816 3:-11.54282 4:0.0 
+1 1:1.3784456 2:-7.5755854 3:-10.269594 4:0.0 
+1 1:2.7565517 2:-1.2754949 3:-6.9210033 4:0.0 
+1 1:2.6496348 2:6.0945373 3:-3.376152 4:0.0 
+1 1:0.43449402 2:-0.19351825 3:1.1197724 4:0.0 
+1 1:2.7905555 2:-2.3453937 3:-1.7665055 4:0.0 
+1 1:2.6091423 2:-4.541415 3:-4.3208194 4:0.0 
+1 1:6.577217 2:-6.4084816 3:-1.6759262 4:1.81 
+1 1:7.31878 2:-2.5767405 3:-2.235249 4:1.81 
+1 1:10.952664 2:-5.9023385 3:-0.29894972 4:1.81 
+1 1:7.7947893 2:-0.61391544 3:2.7141953 4:1.81 
+1 1:4.649586 2:-2.169013 3:1.6389732 4:2.04 
+1 1:4.169171 2:-1.8889465 3:1.7894154 4:2.04 
+1 1:3.3982077 2:3.5006824 3:-1.6235662 4:2.04 
+1 1:0.45950174 2:4.503322 3:-0.43296385 4:2.04 
+1 1:2.675049 2:4.3547 3:-1.1535382 4:2.04 
+1 1:1.3592625 2:-2.1785183 3:-1.3466101 4:2.36 
+1 1:-0.2961836 2:7.2529297 3:-1.3989792 4:2.36 
+1 1:0.11764526 2:4.6445436 3:-0.6996727 4:2.36 
+1 1:-1.8855314 2:-4.5147614 3:-0.3839712 4:2.36 
+1 1:0.07598591 2:-3.2445292 3:-1.0556221 4:2.93 
+1 1:-1.5206387 2:6.758022 3:2.4414415 4:2.93 
+1 1:-0.018718243 2:1.3712106 3:0.4800973 4:2.93 
+1 1:-0.47331333 2:-2.8484814 3:-0.2098484 4:3.62 
+1 1:0.37771368 2:-4.6661253 3:-3.5122385 4:3.62 
+1 1:2.5450506 2:-2.8379583 3:-3.2064996 4:3.62 
+1 1:-1.1928577 2:-1.0981796 3:-0.8376312 4:3.51 
+1 1:-2.2672324 2:-0.40723968 3:-0.11598873 4:3.51 
+1 1:1.2595963 2:-2.4220097 3:0.030764103 4:3.51 
+1 1:1.2118697 2:1.0035956 3:-0.2480936 4:3.51 
+1 1:0.29166555 2:0.19655633 3:0.74032116 4:3.51 
+1 1:0.40880394 2:1.496871 3:-0.77322626 4:3.51 
+1 1:0.29830456 2:-0.24889135 3:-2.376717 4:4.2 
+1 1:1.3225317 2:-0.1648109 3:-2.5553927 4:4.2 
+1 1:-0.17128754 2:0.7156451 3:1.0961766 4:5.49 
+1 1:-0.71401453 2:-0.70128155 3:0.5560317 4:5.49 
+1 1:2.6539936 2:0.3288474 3:-1.2857461 4:5.49 
+1 1:0.26784515 2:0.22148085 3:0.50218725 4:5.49 
+1 1:0.5212846 2:0.92047215 3:1.8224497 4:5.49 
+1 1:-0.24949646 2:-0.79856634 3:0.49316025 4:5.49 
+1 1:-0.39352703 2:0.90257 3:0.64549446 4:5.49 
+1 1:1.2745266 2:-2.7085066 3:0.9355936 4:5.49 
+1 1:2.8735995 2:-5.8280163 3:-5.677039 4:5.49 
+1 1:-3.1344554 2:8.414658 3:-0.26634502 4:5.49 
+1 1:3.83735 2:-3.8656635 3:-0.4588728 4:5.49 
+1 1:-0.56792116 2:-2.3793287 3:-1.2431202 4:5.49 
+1 1:0.689312 2:-6.509942 3:-4.0354233 4:5.49 
+1 1:-0.43295622 2:-6.643152 3:-1.7860832 4:5.49 
+1 1:-5.2864623 2:3.3384945 3:2.093254 4:5.49 
+1 1:1.1110144 2:6.9836507 3:1.0755267 4:5.49 
+1 1:-0.6815295 2:-2.359535 3:-0.6894512 4:5.49 
+1 1:0.45632648 2:-3.4688883 3:-1.4580827 4:5.49 
+1 1:-0.14976835 2:-3.8491664 3:-2.8832088 4:5.49 
+1 1:-0.5450096 2:-3.7464454 3:1.260148 4:5.49 
+1 1:-0.57273006 2:-4.5537148 3:-0.3584752 4:5.49 
+1 1:0.3087926 2:-5.6487136 3:-0.7521949 4:5.49 
+1 1:1.6047807 2:-1.4522557 3:1.3941259 4:5.49 
+1 1:-0.74826574 2:5.5990953 3:2.7742214 4:5.49 
+1 1:0.0046601295 2:1.174145 3:1.7817898 4:5.49 
+1 1:-2.3829029 2:-4.026044 3:-2.1606803 4:5.49 
+1 1:-0.50698566 2:-3.0914273 3:0.47281122 4:5.49 
+1 1:-2.239289 2:4.4355216 3:2.049583 4:5.49 
+1 1:2.256208 2:1.9048954 3:0.09625387 4:5.49 
+1 1:0.98763466 2:-3.926307 3:-0.4557743 4:5.49 
